task_id	name	status	exit	realtime	peak_vmem	peak_rss
981	perform_pairwise_association_test (827)	COMPLETED	0	9m 51s	3 GB	2.5 GB
833	perform_pairwise_association_test (679)	COMPLETED	0	9m 3s	3 GB	2.5 GB
1070	perform_pairwise_association_test (916)	COMPLETED	0	11m 6s	3 GB	2.5 GB
831	perform_pairwise_association_test (677)	COMPLETED	0	9m 38s	3 GB	2.5 GB
834	perform_pairwise_association_test (680)	COMPLETED	0	9m 35s	3 GB	2.5 GB
836	perform_pairwise_association_test (682)	COMPLETED	0	9m 19s	3 GB	2.5 GB
566	perform_pairwise_association_test (412)	COMPLETED	0	12m 24s	3 GB	2.5 GB
707	perform_pairwise_association_test (553)	COMPLETED	0	12m 6s	3 GB	2.5 GB
835	perform_pairwise_association_test (681)	COMPLETED	0	9m 33s	3 GB	2.5 GB
846	perform_pairwise_association_test (692)	COMPLETED	0	8m 56s	3 GB	2.5 GB
